en.m.wikipedia.org,33261399
en.wikipedia.org,17009339
es.m.wikipedia.org,5668575
ru.m.wikipedia.org,5816762
ja.m.wikipedia.org,5396108
de.m.wikipedia.org,4439596
fr.m.wikipedia.org,3798528
ru.wikipedia.org,2852296
es.wikipedia.org,2460489
it.m.wikipedia.org,2806943
de.wikipedia.org,2252670
ja.wikipedia.org,2128471
fr.wikipedia.org,1839196
zh.m.wikipedia.org,2123391
ar.m.wikipedia.org,1644253
pt.m.wikipedia.org,1471752
pl.m.wikipedia.org,1410339
fa.m.wikipedia.org,1194940
zh.wikipedia.org,1088755
tr.m.wikipedia.org,908573
it.wikipedia.org,960563
id.m.wikipedia.org,777850
pt.wikipedia.org,734498
nl.m.wikipedia.org,816225
uk.m.wikipedia.org,799350
pl.wikipedia.org,717953
vi.m.wikipedia.org,430015
sv.m.wikipedia.org,586638
ko.m.wikipedia.org,592663
nl.wikipedia.org,411116
hi.m.wikipedia.org,372427
th.m.wikipedia.org,371877
commons.wikimedia.org,163837
cs.m.wikipedia.org,449440
he.m.wikipedia.org,409324
commons.m.wikimedia.org,117812
tr.wikipedia.org,306981
fi.m.wikipedia.org,384300
hu.m.wikipedia.org,369370
vi.wikipedia.org,302448
ko.wikipedia.org,247168
ro.m.wikipedia.org,322606
el.m.wikipedia.org,307925
uk.wikipedia.org,303240
sv.wikipedia.org,272589
cs.wikipedia.org,261877
en.m.wiktionary.org,146792
ar.wikipedia.org,212695
id.wikipedia.org,183975
en.wiktionary.org,123043
bg.m.wikipedia.org,255180
ru.m.wiktionary.org,127103
sr.m.wikipedia.org,242035
hu.wikipedia.org,192206
no.m.wikipedia.org,197814
bn.m.wikipedia.org,158172
fi.wikipedia.org,176186
hr.m.wikipedia.org,176889
th.wikipedia.org,131685
da.m.wikipedia.org,160152
el.wikipedia.org,132834
ms.m.wikipedia.org,117263
ro.wikipedia.org,115982
no.wikipedia.org,116985
sk.m.wikipedia.org,119087
da.wikipedia.org,99019
kk.m.wikipedia.org,116962
ta.m.wikipedia.org,93643
fa.wikipedia.org,91514
he.wikipedia.org,95033
bg.wikipedia.org,92999
ca.wikipedia.org,77291
en.wikibooks.org,11221
el.m.wiktionary.org,74296
ru.wiktionary.org,45196
ar.m.wikisource.org,56124
fr.m.wiktionary.org,38541
az.m.wikipedia.org,80266
fr.wiktionary.org,33675
ca.m.wikipedia.org,83071
m.wikidata.org,51291
simple.m.wikipedia.org,70728
