domain,uniq_human_visitors,uniq_bot_visitors,total_visitor_count,language_code,site_type
en.m.wikipedia.org,33261399,8400247,41661646,en,wikipedia
en.wikipedia.org,17009339,4851741,21861080,en,wikipedia
es.m.wikipedia.org,5668575,1977289,7645864,es,wikipedia
ru.m.wikipedia.org,5816762,1367179,7183941,ru,wikipedia
ja.m.wikipedia.org,5396108,1325212,6721320,ja,wikipedia
de.m.wikipedia.org,4439596,853251,5292847,de,wikipedia
fr.m.wikipedia.org,3798528,904567,4703095,fr,wikipedia
ru.wikipedia.org,2852296,687501,3539797,ru,wikipedia
es.wikipedia.org,2460489,962516,3423005,es,wikipedia
it.m.wikipedia.org,2806943,566876,3373819,it,wikipedia
de.wikipedia.org,2252670,844959,3097629,de,wikipedia
ja.wikipedia.org,2128471,576439,2704910,ja,wikipedia
fr.wikipedia.org,1839196,651811,2491007,fr,wikipedia
zh.m.wikipedia.org,2123391,328636,2452027,zh,wikipedia
ar.m.wikipedia.org,1644253,750620,2394873,ar,wikipedia
pt.m.wikipedia.org,1471752,694216,2165968,pt,wikipedia
pl.m.wikipedia.org,1410339,254991,1665330,pl,wikipedia
fa.m.wikipedia.org,1194940,385060,1580000,fa,wikipedia
zh.wikipedia.org,1088755,301391,1390146,zh,wikipedia
tr.m.wikipedia.org,908573,429975,1338548,tr,wikipedia
it.wikipedia.org,960563,363121,1323684,it,wikipedia
id.m.wikipedia.org,777850,485675,1263525,id,wikipedia
pt.wikipedia.org,734498,361300,1095798,pt,wikipedia
nl.m.wikipedia.org,816225,186294,1002519,nl,wikipedia
uk.m.wikipedia.org,799350,148493,947843,uk,wikipedia
pl.wikipedia.org,717953,219016,936969,pl,wikipedia
vi.m.wikipedia.org,430015,266113,696128,vi,wikipedia
sv.m.wikipedia.org,586638,99485,686123,sv,wikipedia
ko.m.wikipedia.org,592663,89442,682105,ko,wikipedia
nl.wikipedia.org,411116,183812,594928,nl,wikipedia
hi.m.wikipedia.org,372427,197143,569570,hi,wikipedia
th.m.wikipedia.org,371877,176545,548422,th,wikipedia
commons.wikimedia.org,163837,364266,528103,commons,wikimedia
cs.m.wikipedia.org,449440,70360,519800,cs,wikipedia
he.m.wikipedia.org,409324,77168,486492,he,wikipedia
commons.m.wikimedia.org,117812,358525,476337,commons,wikimedia
tr.wikipedia.org,306981,153916,460897,tr,wikipedia
fi.m.wikipedia.org,384300,68720,453020,fi,wikipedia
hu.m.wikipedia.org,369370,75809,445179,hu,wikipedia
vi.wikipedia.org,302448,106837,409285,vi,wikipedia
ko.wikipedia.org,247168,161134,408302,ko,wikipedia
ro.m.wikipedia.org,322606,83245,405851,ro,wikipedia
el.m.wikipedia.org,307925,73927,381852,el,wikipedia
uk.wikipedia.org,303240,69011,372251,uk,wikipedia
sv.wikipedia.org,272589,85040,357629,sv,wikipedia
cs.wikipedia.org,261877,79729,341606,cs,wikipedia
en.m.wiktionary.org,146792,190145,336937,en,wiktionary
ar.wikipedia.org,212695,97700,310395,ar,wikipedia
id.wikipedia.org,183975,123875,307850,id,wikipedia
en.wiktionary.org,123043,184577,307620,en,wiktionary
bg.m.wikipedia.org,255180,45962,301142,bg,wikipedia
ru.m.wiktionary.org,127103,153817,280920,ru,wiktionary
sr.m.wikipedia.org,242035,27347,269382,sr,wikipedia
hu.wikipedia.org,192206,69572,261778,hu,wikipedia
no.m.wikipedia.org,197814,46321,244135,no,wikipedia
bn.m.wikipedia.org,158172,84940,243112,bn,wikipedia
fi.wikipedia.org,176186,65289,241475,fi,wikipedia
hr.m.wikipedia.org,176889,38086,214975,hr,wikipedia
th.wikipedia.org,131685,77157,208842,th,wikipedia
da.m.wikipedia.org,160152,36403,196555,da,wikipedia
el.wikipedia.org,132834,54864,187698,el,wikipedia
ms.m.wikipedia.org,117263,61264,178527,ms,wikipedia
ro.wikipedia.org,115982,54244,170226,ro,wikipedia
no.wikipedia.org,116985,47137,164122,no,wikipedia
sk.m.wikipedia.org,119087,26316,145403,sk,wikipedia
da.wikipedia.org,99019,46332,145351,da,wikipedia
kk.m.wikipedia.org,116962,27183,144145,kk,wikipedia
ta.m.wikipedia.org,93643,47169,140812,ta,wikipedia
fa.wikipedia.org,91514,43775,135289,fa,wikipedia
he.wikipedia.org,95033,36288,131321,he,wikipedia
bg.wikipedia.org,92999,36892,129891,bg,wikipedia
ca.wikipedia.org,77291,44992,122283,ca,wikipedia
en.wikibooks.org,11221,102602,113823,en,wikibooks
el.m.wiktionary.org,74296,36994,111290,el,wiktionary
ru.wiktionary.org,45196,65116,110312,ru,wiktionary
ar.m.wikisource.org,56124,52885,109009,ar,wikisource
fr.m.wiktionary.org,38541,69134,107675,fr,wiktionary
az.m.wikipedia.org,80266,23450,103716,az,wikipedia
fr.wiktionary.org,33675,68784,102459,fr,wiktionary
ca.m.wikipedia.org,83071,17350,100421,ca,wikipedia
m.wikidata.org,51291,47889,99180,m,wikidata
simple.m.wikipedia.org,70728,27866,98594,simple,wikipedia
www.wikidata.org,18453,79033,97486,www,wikidata
sr.wikipedia.org,64143,32870,97013,sr,wikipedia
sk.wikipedia.org,65877,29084,94961,sk,wikipedia
ka.m.wikipedia.org,72068,22625,94693,ka,wikipedia
uz.m.wikipedia.org,67389,26674,94063,uz,wikipedia
hr.wikipedia.org,60920,32284,93204,hr,wikipedia
lt.m.wikipedia.org,73506,17215,90721,lt,wikipedia
simple.wikipedia.org,45911,43151,89062,simple,wikipedia
es.m.wiktionary.org,25802,60409,86211,es,wiktionary
mr.m.wikipedia.org,58518,27167,85685,mr,wikipedia
id.wikibooks.org,186,72661,72847,id,wikibooks
hy.m.wikipedia.org,57096,13865,70961,hy,wikipedia
de.m.wiktionary.org,26400,44317,70717,de,wiktionary
de.wiktionary.org,19997,48962,68959,de,wiktionary
sh.m.wikipedia.org,56335,11695,68030,sh,wikipedia
nl.wikibooks.org,294,67270,67564,nl,wikibooks
pl.m.wiktionary.org,23889,42407,66296,pl,wiktionary
sq.m.wikipedia.org,46747,19376,66123,sq,wikipedia
lt.wikipedia.org,39825,25318,65143,lt,wikipedia
te.m.wikipedia.org,40685,21830,62515,te,wikipedia
arz.m.wikipedia.org,45486,16769,62255,arz,wikipedia
ml.m.wikipedia.org,40854,18589,59443,ml,wikipedia
sl.m.wikipedia.org,48613,10325,58938,sl,wikipedia
fr.wikibooks.org,2113,56119,58232,fr,wikibooks
tl.m.wikipedia.org,36007,20389,56396,tl,wikipedia
et.wikipedia.org,32747,23476,56223,et,wikipedia
sl.wikipedia.org,29911,25842,55753,sl,wikipedia
it.wikibooks.org,352,55033,55385,it,wikibooks
ms.wikipedia.org,26750,28451,55201,ms,wikipedia
pl.wiktionary.org,17300,35166,52466,pl,wiktionary
el.wiktionary.org,27746,24575,52321,el,wiktionary
et.m.wikipedia.org,42903,8805,51708,et,wikipedia
sh.wikipedia.org,21387,27746,49133,sh,wikipedia
foundation.wikimedia.org,14490,34260,48750,foundation,wikimedia
zh-yue.m.wikipedia.org,39551,8963,48514,zh-yue,wikipedia
de.wikibooks.org,4179,44135,48314,de,wikibooks
pl.wikibooks.org,901,45765,46666,pl,wikibooks
meta.wikimedia.org,5680,40439,46119,meta,wikimedia
bs.m.wikipedia.org,37691,8232,45923,bs,wikipedia
ka.wikipedia.org,25577,18700,44277,ka,wikipedia
es.wiktionary.org,10783,33480,44263,es,wiktionary
es.wikibooks.org,953,43267,44220,es,wikibooks
zh-yue.wikipedia.org,25687,15453,41140,zh-yue,wikipedia
pt.wikibooks.org,484,40572,41056,pt,wikibooks
fi.wikibooks.org,168,40732,40900,fi,wikibooks
eu.wikipedia.org,12867,27207,40074,eu,wikipedia
tl.wikipedia.org,17918,21068,38986,tl,wikipedia
lv.wikipedia.org,18114,19870,37984,lv,wikipedia
